filename,object,qobject,qra,qdec,obsdate,exptime,obsmode,obstype,program,piname,sunagl,airmass,seeing,moonagl,ccfjdsum,ccfrvmod,dvrms,swversion,extsnr,flagged
neidL2_20250202T093430.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2025-02-02 09:34:30,960.003883,hr,Sci,2025A-563368,Juliette Becker,-59.9415,1.6113,0.0,28.5202,2460708.91005806,42.8812,0.0013,v1.4.1,118.8637,0
neidL2_20250202T091802.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2025-02-02 09:18:02,959.784495,hr,Sci,2025A-563368,Juliette Becker,-63.0754,1.4964,0.0,28.5088,2460708.8986429,42.8796,0.0012,v1.4.1,129.5384,0
neidL2_20250202T090031.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2025-02-02 09:00:31,960.00433,hr,Sci,2025A-563368,Juliette Becker,-66.233,1.4,0.0,28.4963,2460708.88652953,42.8796,0.0013,v1.4.1,120.2294,0
neidL2_20250202T084403.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2025-02-02 08:44:03,960.004357,hr,Sci,2025A-563368,Juliette Becker,-68.9532,1.3219,0.0,28.4846,2460708.87488047,42.8765,0.0012,v1.4.1,129.4068,0
neidL2_20250202T082736.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2025-02-02 08:27:36,959.781457,hr,Sci,2025A-563368,Juliette Becker,-71.3254,1.2585,0.0,28.4734,2460708.86388841,42.8763,0.0011,v1.4.1,146.8296,0
neidL2_20250202T080729.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2025-02-02 08:07:29,960.003635,hr,Sci,2025A-563368,Juliette Becker,-73.5299,1.194,0.0,28.4598,2460708.84976352,42.8753,0.0012,v1.4.1,136.005,0
neidL2_20250202T075102.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2025-02-02 07:51:02,960.004239,hr,Sci,2025A-563368,Juliette Becker,-74.5493,1.1518,0.0,28.4485,2460708.83848628,42.8777,0.0011,v1.4.1,144.2442,0
neidL2_20250202T073434.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2025-02-02 07:34:34,960.004195,hr,Sci,2025A-563368,Juliette Becker,-74.7022,1.1158,0.0,28.4365,2460708.82692481,42.8775,0.001,v1.4.1,153.2292,0
neidL2_20250202T071806.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2025-02-02 07:18:06,959.813184,hr,Sci,2025A-563368,Juliette Becker,-73.9639,1.0861,0.0,28.4246,2460708.81549071,42.8793,0.001,v1.4.1,161.7012,0
neidL2_20250202T065839.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2025-02-02 06:58:39,960.004564,hr,Sci,2025A-563368,Juliette Becker,-72.1006,1.0583,0.0,28.4094,2460708.80213947,42.8813,8.0E-4,v1.4.1,185.651,0
