filename,object,qobject,qra,qdec,obsdate,exptime,obsmode,obstype,program,piname,sunagl,airmass,seeing,moonagl,ccfjdsum,ccfrvmod,dvrms,swversion,extsnr,flagged
neidL2_20251104T084459.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 08:44:59,480.002115,hr,Sci,2025B-210199,Juliette Becker,-62.8411,1.9387,0.0,73.1687,2460983.86978358,-6.2748,0.001,v1.4.2,85.1587,0
neidL2_20251104T083631.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 08:36:31,480.002898,hr,Sci,2025B-210199,Juliette Becker,-64.34,1.9275,0.0,73.17,2460983.86381173,-6.2731,0.001,v1.4.2,83.9149,0
neidL2_20251104T082803.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 08:28:03,480.002498,hr,Sci,2025B-210199,Juliette Becker,-65.7804,1.9164,0.0,73.1712,2460983.8580468,-6.2733,0.001,v1.4.2,81.8388,0
neidL2_20251104T081936.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 08:19:36,479.782329,hr,Sci,2025B-210199,Juliette Becker,-67.1502,1.9055,0.0,73.1725,2460983.85212452,-6.2728,0.001,v1.4.2,81.988,0
neidL2_20251104T080740.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 08:07:40,480.00233,hr,Sci,2025B-210199,Juliette Becker,-68.9366,1.8901,0.0,73.1741,2460983.843843,-6.2724,0.001,v1.4.2,84.1762,0
neidL2_20251104T075912.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 07:59:12,480.00193,hr,Sci,2025B-210199,Juliette Becker,-70.0771,1.8794,0.0,73.1753,2460983.83804551,-6.2734,0.001,v1.4.2,86.7215,0
neidL2_20251104T075045.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 07:50:45,480.002541,hr,Sci,2025B-210199,Juliette Becker,-71.0907,1.8688,0.0,73.1765,2460983.8322448,-6.2724,0.001,v1.4.2,81.7994,0
neidL2_20251104T074217.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 07:42:17,480.00246,hr,Sci,2025B-210199,Juliette Becker,-71.9556,1.8584,0.0,73.1777,2460983.82625473,-6.2722,0.0011,v1.4.2,74.5184,0
neidL2_20251104T073349.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 07:33:49,480.00186,hr,Sci,2025B-210199,Juliette Becker,-72.6493,1.8481,0.0,73.1789,2460983.82039421,-6.2724,0.0011,v1.4.2,75.0066,0
neidL2_20251104T072522.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 07:25:22,480.002643,hr,Sci,2025B-210199,Juliette Becker,-73.1505,1.838,0.0,73.18,2460983.81451987,-6.2723,0.0012,v1.4.2,71.2567,0
neidL2_20251104T071654.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 07:16:54,480.002266,hr,Sci,2025B-210199,Juliette Becker,-73.4417,1.8281,0.0,73.1812,2460983.80853581,-6.2738,0.0011,v1.4.2,73.2851,0
neidL2_20251104T070826.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 07:08:26,479.780609,hr,Sci,2025B-210199,Juliette Becker,-73.5116,1.8184,0.0,73.1823,2460983.80297374,-6.2733,0.0012,v1.4.2,67.3375,0
neidL2_20251104T065643.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 06:56:43,480.002387,hr,Sci,2025B-210199,Juliette Becker,-73.2393,1.8053,0.0,73.184,2460983.79465308,-6.2725,0.0012,v1.4.2,68.0014,0
neidL2_20251104T064815.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 06:48:15,480.002593,hr,Sci,2025B-210199,Juliette Becker,-72.7865,1.796,0.0,73.1851,2460983.7887058,-6.2724,0.0013,v1.4.2,65.5806,0
neidL2_20251104T063948.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 06:39:48,480.002026,hr,Sci,2025B-210199,Juliette Becker,-72.1366,1.787,0.0,73.1862,2460983.78291401,-6.2736,0.0012,v1.4.2,70.26,0
neidL2_20251104T063120.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 06:31:20,480.002263,hr,Sci,2025B-210199,Juliette Becker,-71.3103,1.7782,0.0,73.1873,2460983.77711617,-6.273,0.0012,v1.4.2,71.6001,0
neidL2_20251104T062252.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 06:22:52,480.002223,hr,Sci,2025B-210199,Juliette Becker,-70.3299,1.7696,0.0,73.1884,2460983.77117627,-6.2758,0.0015,v1.4.2,54.3557,0
neidL2_20251104T061425.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 06:14:25,480.003373,hr,Sci,2025B-210199,Juliette Becker,-69.2174,1.7613,0.0,73.1896,2460983.76546398,-6.273,0.0015,v1.4.2,54.6164,0
neidL2_20251104T060557.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 06:05:57,480.00297,hr,Sci,2025B-210199,Juliette Becker,-67.9931,1.7532,0.0,73.1904,2460983.7593054,-6.2703,0.0015,v1.4.2,55.5198,0
neidL2_20251104T055729.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 05:57:29,480.001766,hr,Sci,2025B-210199,Juliette Becker,-66.6749,1.7454,0.0,73.1918,2460983.75324579,-6.2726,0.0018,v1.4.2,46.0814,0
neidL2_20251104T054902.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 05:49:02,480.002078,hr,Sci,2025B-210199,Juliette Becker,-65.278,1.7379,0.0,73.1926,2460983.74783612,-6.2711,0.0015,v1.4.2,53.8373,0
neidL2_20251104T054034.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 05:40:34,479.820705,hr,Sci,2025B-210199,Juliette Becker,-63.8159,1.7305,0.0,73.1941,2460983.74108413,-6.2739,0.0017,v1.4.2,46.9186,0
neidL2_20251104T052858.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 05:28:58,480.001966,hr,Sci,2025B-210199,Juliette Becker,-61.7214,1.7209,0.0,73.1956,2460983.73384805,-6.2728,0.0018,v1.4.2,44.4962,0
neidL2_20251104T052030.fits,HD 207897,Gaia DR2 2300641567596591488,21:40:48.3948,+84:20:01.541,2025-11-04 05:20:30,480.002402,hr,Sci,2025B-210199,Juliette Becker,-60.1424,1.7142,0.0,73.1968,2460983.72755404,-6.2737,0.0017,v1.4.2,48.6845,0
