filename,object,qobject,qra,qdec,obsdate,exptime,obsmode,obstype,program,piname,sunagl,airmass,seeing,moonagl,ccfjdsum,ccfrvmod,dvrms,swversion,extsnr,flagged
neidL2_20250220T122342.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 12:23:42,360.002972,hr,Sci,2025A-563368,Juliette Becker,-21.7817,1.5227,0.0,20.2684,2460727.02470225,-1.6165,6.0E-4,v1.4.1,150.3968,0
neidL2_20250220T121714.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 12:17:14,360.003152,hr,Sci,2025A-563368,Juliette Becker,-23.1528,1.4828,0.0,20.2698,2460727.02026738,-1.6157,6.0E-4,v1.4.1,151.379,0
neidL2_20250220T121047.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 12:10:47,360.002945,hr,Sci,2025A-563368,Juliette Becker,-24.5233,1.4455,0.0,20.2713,2460727.01581654,-1.6156,6.0E-4,v1.4.1,147.9015,0
neidL2_20250220T120419.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 12:04:19,360.002901,hr,Sci,2025A-563368,Juliette Becker,-25.8929,1.4108,0.0,20.2727,2460727.01125165,-1.616,6.0E-4,v1.4.1,148.0665,0
neidL2_20250220T115752.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 11:57:52,359.799637,hr,Sci,2025A-563368,Juliette Becker,-27.2605,1.3786,0.0,20.2742,2460727.00672441,-1.6153,6.0E-4,v1.4.1,152.1112,0
neidL2_20250220T114639.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 11:46:39,360.003258,hr,Sci,2025A-563368,Juliette Becker,-29.6301,1.3275,0.0,20.2783,2460726.99900874,-1.6159,6.0E-4,v1.4.1,150.5145,0
neidL2_20250220T114011.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 11:40:11,360.002799,hr,Sci,2025A-563368,Juliette Becker,-30.9931,1.3008,0.0,20.2798,2460726.99459438,-1.6163,6.0E-4,v1.4.1,145.0025,0
neidL2_20250220T113344.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 11:33:44,359.803527,hr,Sci,2025A-563368,Juliette Becker,-32.3527,1.2758,0.0,20.2811,2460726.98999402,-1.6155,6.0E-4,v1.4.1,148.4559,0
neidL2_20250220T112354.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 11:23:54,360.003485,hr,Sci,2025A-563368,Juliette Becker,-34.415,1.2408,0.0,20.2833,2460726.98321032,-1.6164,6.0E-4,v1.4.1,149.4387,0
neidL2_20250220T111727.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 11:17:27,360.003518,hr,Sci,2025A-563368,Juliette Becker,-35.7664,1.2197,0.0,20.2847,2460726.97869488,-1.6161,6.0E-4,v1.4.1,145.5779,0
neidL2_20250220T111059.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 11:10:59,360.002955,hr,Sci,2025A-563368,Juliette Becker,-37.1135,1.2,0.0,20.2862,2460726.97419337,-1.6152,6.0E-4,v1.4.1,151.2955,0
neidL2_20250220T110431.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 11:04:31,360.003625,hr,Sci,2025A-563368,Juliette Becker,-38.4557,1.1816,0.0,20.2876,2460726.96976291,-1.6165,6.0E-4,v1.4.1,152.3373,0
neidL2_20250220T105804.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 10:58:04,360.003185,hr,Sci,2025A-563368,Juliette Becker,-39.7922,1.1644,0.0,20.2891,2460726.9652298,-1.6156,6.0E-4,v1.4.1,155.2025,0
neidL2_20250220T105136.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 10:51:36,360.002627,hr,Sci,2025A-563368,Juliette Becker,-41.1225,1.1483,0.0,20.2904,2460726.96077875,-1.616,6.0E-4,v1.4.1,160.2465,0
neidL2_20250220T104508.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 10:45:08,360.003533,hr,Sci,2025A-563368,Juliette Becker,-42.4458,1.1334,0.0,20.2916,2460726.9562822,-1.6159,6.0E-4,v1.4.1,162.1605,0
neidL2_20250220T103841.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 10:38:41,360.003164,hr,Sci,2025A-563368,Juliette Becker,-43.7613,1.1195,0.0,20.2928,2460726.95179475,-1.6158,6.0E-4,v1.4.1,163.3733,0
neidL2_20250220T103213.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 10:32:13,360.002912,hr,Sci,2025A-563368,Juliette Becker,-45.0681,1.1065,0.0,20.2939,2460726.94730727,-1.6167,6.0E-4,v1.4.1,158.2971,0
neidL2_20250220T102545.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 10:25:45,360.003339,hr,Sci,2025A-563368,Juliette Becker,-46.3653,1.0945,0.0,20.2953,2460726.94286139,-1.6157,6.0E-4,v1.4.1,157.9734,0
neidL2_20250220T101918.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 10:19:18,360.002982,hr,Sci,2025A-563368,Juliette Becker,-47.6518,1.0835,0.0,20.2972,2460726.93822408,-1.6158,6.0E-4,v1.4.1,159.7303,0
neidL2_20250220T101250.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 10:12:50,360.00385,hr,Sci,2025A-563368,Juliette Becker,-48.9263,1.0732,0.0,20.2986,2460726.93385183,-1.6164,5.0E-4,v1.4.1,166.5598,0
neidL2_20250220T100622.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 10:06:22,359.777386,hr,Sci,2025A-563368,Juliette Becker,-50.1869,1.0638,0.0,20.2997,2460726.92934457,-1.6156,6.0E-4,v1.4.1,163.7576,0
neidL2_20250220T095645.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 09:56:45,360.00313,hr,Sci,2025A-563368,Juliette Becker,-52.0372,1.0513,0.0,20.3016,2460726.92267801,-1.6164,6.0E-4,v1.4.1,162.2421,0
neidL2_20250220T095017.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 09:50:17,360.003064,hr,Sci,2025A-563368,Juliette Becker,-53.2589,1.0438,0.0,20.3027,2460726.91819007,-1.616,6.0E-4,v1.4.1,161.4936,0
neidL2_20250220T094350.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 09:43:50,360.002873,hr,Sci,2025A-563368,Juliette Becker,-54.4614,1.037,0.0,20.3041,2460726.91367652,-1.6162,6.0E-4,v1.4.1,165.7687,0
neidL2_20250220T093722.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 09:37:22,360.003339,hr,Sci,2025A-563368,Juliette Becker,-55.6425,1.031,0.0,20.3054,2460726.90921627,-1.6164,5.0E-4,v1.4.1,167.5608,0
neidL2_20250220T093054.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 09:30:54,360.003526,hr,Sci,2025A-563368,Juliette Becker,-56.7999,1.0257,0.0,20.3066,2460726.90474956,-1.6155,5.0E-4,v1.4.1,170.8431,0
neidL2_20250220T092427.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 09:24:27,360.00351,hr,Sci,2025A-563368,Juliette Becker,-57.9309,1.021,0.0,20.3079,2460726.9002358,-1.6158,5.0E-4,v1.4.1,168.6023,0
neidL2_20250220T091759.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 09:17:59,360.003158,hr,Sci,2025A-563368,Juliette Becker,-59.0323,1.017,0.0,20.3092,2460726.89575134,-1.6154,6.0E-4,v1.4.1,165.3934,0
neidL2_20250220T091131.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 09:11:31,360.003038,hr,Sci,2025A-563368,Juliette Becker,-60.1008,1.0136,0.0,20.3106,2460726.89124455,-1.616,6.0E-4,v1.4.1,161.9781,0
neidL2_20250220T090504.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 09:05:04,360.003479,hr,Sci,2025A-563368,Juliette Becker,-61.1327,1.0109,0.0,20.3121,2460726.88676231,-1.6157,5.0E-4,v1.4.1,166.6488,0
neidL2_20250220T085836.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 08:58:36,360.003035,hr,Sci,2025A-563368,Juliette Becker,-62.1236,1.0088,0.0,20.3138,2460726.88229054,-1.6156,6.0E-4,v1.4.1,163.5567,0
neidL2_20250220T085208.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 08:52:08,360.003128,hr,Sci,2025A-563368,Juliette Becker,-63.069,1.0073,0.0,20.3159,2460726.87780005,-1.615,5.0E-4,v1.4.1,166.515,0
neidL2_20250220T084541.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 08:45:41,359.686517,hr,Sci,2025A-563368,Juliette Becker,-63.9631,1.0065,0.0,20.3179,2460726.87330183,-1.6149,6.0E-4,v1.4.1,164.3565,0
neidL2_20250220T083613.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 08:36:13,360.00298,hr,Sci,2025A-563368,Juliette Becker,-65.1716,1.0064,0.0,20.3211,2460726.86699326,-1.6149,6.0E-4,v1.4.1,146.7283,0
neidL2_20250220T082945.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 08:29:45,360.002428,hr,Sci,2025A-563368,Juliette Becker,-65.9174,1.007,0.0,20.3235,2460726.86224545,-1.6145,7.0E-4,v1.4.1,134.4375,0
neidL2_20250220T082317.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 08:23:17,360.003011,hr,Sci,2025A-563368,Juliette Becker,-66.5921,1.0083,0.0,20.3256,2460726.85773446,-1.615,7.0E-4,v1.4.1,133.7043,0
neidL2_20250220T081650.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 08:16:50,360.002959,hr,Sci,2025A-563368,Juliette Becker,-67.1892,1.0103,0.0,20.3277,2460726.85328213,-1.6144,7.0E-4,v1.4.1,133.1836,0
neidL2_20250220T081022.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 08:10:22,360.003787,hr,Sci,2025A-563368,Juliette Becker,-67.7026,1.0128,0.0,20.3297,2460726.84879138,-1.615,7.0E-4,v1.4.1,130.9312,0
neidL2_20250220T080354.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 08:03:54,360.00296,hr,Sci,2025A-563368,Juliette Becker,-68.1262,1.016,0.0,20.3317,2460726.84431738,-1.6131,7.0E-4,v1.4.1,135.1335,0
neidL2_20250220T075727.fits,HD 97658,Gaia DR2 3997075206232885888,11:14:33.0380,+25:42:38.146,2025-02-20 07:57:27,360.003096,hr,Sci,2025A-563368,Juliette Becker,-68.4548,1.0198,0.0,20.3332,2460726.83977214,-1.6136,7.0E-4,v1.4.1,138.4507,0
