filename,object,qobject,qra,qdec,obsdate,exptime,obsmode,obstype,program,piname,sunagl,airmass,seeing,moonagl,ccfjdsum,ccfrvmod,dvrms,swversion,extsnr,flagged
neidL2_20250709T100759.fits,TIC 75878355,Gaia DR2 4610267648427698816,18:07:44.5203,+39:04:22.537,2025-07-09 10:07:59,420.002445,hr,Sci,2025A-563368,Juliette Becker,-24.119,1.4204,0.0,63.3103,2460865.92791951,-20.6084,0.0011,v1.4.2,69.1802,0
neidL2_20250709T100031.fits,TIC 75878355,Gaia DR2 4610267648427698816,18:07:44.5203,+39:04:22.537,2025-07-09 10:00:31,420.002798,hr,Sci,2025A-563368,Juliette Becker,-25.113,1.3859,0.0,63.3096,2460865.92280198,-20.6082,0.0011,v1.4.2,72.1819,0
neidL2_20250709T095303.fits,TIC 75878355,Gaia DR2 4610267648427698816,18:07:44.5203,+39:04:22.537,2025-07-09 09:53:03,420.002599,hr,Sci,2025A-563368,Juliette Becker,-26.0729,1.3537,0.0,63.3089,2460865.91773358,-20.6078,0.0011,v1.4.2,72.6074,0
neidL2_20250709T094536.fits,TIC 75878355,Gaia DR2 4610267648427698816,18:07:44.5203,+39:04:22.537,2025-07-09 09:45:36,420.002894,hr,Sci,2025A-563368,Juliette Becker,-26.9971,1.3237,0.0,63.3082,2460865.91248997,-20.6067,0.001,v1.4.2,76.0796,0
neidL2_20250709T093808.fits,TIC 75878355,Gaia DR2 4610267648427698816,18:07:44.5203,+39:04:22.537,2025-07-09 09:38:08,420.002868,hr,Sci,2025A-563368,Juliette Becker,-27.884,1.2959,0.0,63.3076,2460865.90736452,-20.6077,0.001,v1.4.2,75.5547,0
neidL2_20250709T093040.fits,TIC 75878355,Gaia DR2 4610267648427698816,18:07:44.5203,+39:04:22.537,2025-07-09 09:30:40,420.002844,hr,Sci,2025A-563368,Juliette Becker,-28.7319,1.2699,0.0,63.307,2460865.90226098,-20.6074,0.0011,v1.4.2,73.1754,0
neidL2_20250709T092313.fits,TIC 75878355,Gaia DR2 4610267648427698816,18:07:44.5203,+39:04:22.537,2025-07-09 09:23:13,420.003333,hr,Sci,2025A-563368,Juliette Becker,-29.5391,1.2457,0.0,63.3065,2460865.89694522,-20.6074,0.001,v1.4.2,78.7107,0
neidL2_20250709T091545.fits,TIC 75878355,Gaia DR2 4610267648427698816,18:07:44.5203,+39:04:22.537,2025-07-09 09:15:45,420.002861,hr,Sci,2025A-563368,Juliette Becker,-30.3041,1.2231,0.0,63.306,2460865.89180026,-20.6077,9.0E-4,v1.4.2,79.2264,0
neidL2_20250709T090817.fits,TIC 75878355,Gaia DR2 4610267648427698816,18:07:44.5203,+39:04:22.537,2025-07-09 09:08:17,420.002536,hr,Sci,2025A-563368,Juliette Becker,-31.025,1.2021,0.0,63.3054,2460865.88659575,-20.6064,9.0E-4,v1.4.2,82.1392,0
neidL2_20250709T090050.fits,TIC 75878355,Gaia DR2 4610267648427698816,18:07:44.5203,+39:04:22.537,2025-07-09 09:00:50,420.002784,hr,Sci,2025A-563368,Juliette Becker,-31.7004,1.1825,0.0,63.3049,2460865.88151222,-20.6077,9.0E-4,v1.4.2,81.7204,0
