filename,object,qobject,qra,qdec,obsdate,exptime,obsmode,obstype,program,piname,sunagl,airmass,seeing,moonagl,ccfjdsum,ccfrvmod,dvrms,swversion,extsnr,flagged
neidL2_20260114T090009.fits,TIC 417646390,Gaia DR2 497750842338402560,05:10:27.0910,+70:23:27.884,2026-01-14 09:00:09,500.006234,hr,Sci,2025B-210199,Juliette Becker,-68.3122,1.5469,0.0,54.1091,2461054.8822299,-41.1314,0.0147,v1.4.2,15.0019,0
neidL2_20260114T085121.fits,TIC 417646390,Gaia DR2 497750842338402560,05:10:27.0910,+70:23:27.884,2026-01-14 08:51:21,500.005329,hr,Sci,2025B-210199,Juliette Becker,-69.99,1.5252,0.0,54.1059,2461054.87639862,-41.1293,0.0144,v1.4.2,15.4156,0
neidL2_20260114T084233.fits,TIC 417646390,Gaia DR2 497750842338402560,05:10:27.0910,+70:23:27.884,2026-01-14 08:42:33,500.005463,hr,Sci,2025B-210199,Juliette Becker,-71.6143,1.5045,0.0,54.1036,2461054.86978707,-41.1453,0.0143,v1.4.2,15.7519,0
neidL2_20260114T083346.fits,TIC 417646390,Gaia DR2 497750842338402560,05:10:27.0910,+70:23:27.884,2026-01-14 08:33:46,500.007621,hr,Sci,2025B-210199,Juliette Becker,-73.1688,1.4849,0.0,54.0996,2461054.86404102,-41.1388,0.0159,v1.4.2,13.3265,0
neidL2_20260114T082458.fits,TIC 417646390,Gaia DR2 497750842338402560,05:10:27.0910,+70:23:27.884,2026-01-14 08:24:58,500.005769,hr,Sci,2025B-210199,Juliette Becker,-74.632,1.4664,0.0,54.0969,2461054.85760791,-41.1302,0.0144,v1.4.2,15.4651,0
neidL2_20260114T081610.fits,TIC 417646390,Gaia DR2 497750842338402560,05:10:27.0910,+70:23:27.884,2026-01-14 08:16:10,500.005855,hr,Sci,2025B-210199,Juliette Becker,-75.9747,1.4489,0.0,54.0942,2461054.85151697,-41.1627,0.0145,v1.4.2,15.6832,0
neidL2_20260114T080723.fits,TIC 417646390,Gaia DR2 497750842338402560,05:10:27.0910,+70:23:27.884,2026-01-14 08:07:23,499.834407,hr,Sci,2025B-210199,Juliette Becker,-77.1582,1.4324,0.0,54.0916,2461054.84543732,-41.1049,0.0173,v1.4.2,11.784,0
neidL2_20260114T075526.fits,TIC 417646390,Gaia DR2 497750842338402560,05:10:27.0910,+70:23:27.884,2026-01-14 07:55:26,500.006194,hr,Sci,2025B-210199,Juliette Becker,-78.4247,1.4116,0.0,54.0879,2461054.83699513,-41.133,0.0145,v1.4.2,15.3653,0
neidL2_20260114T074638.fits,TIC 417646390,Gaia DR2 497750842338402560,05:10:27.0910,+70:23:27.884,2026-01-14 07:46:38,500.005886,hr,Sci,2025B-210199,Juliette Becker,-79.033,1.3973,0.0,54.0853,2461054.83110025,-41.1163,0.0137,v1.4.2,16.449,0
neidL2_20260114T073750.fits,TIC 417646390,Gaia DR2 497750842338402560,05:10:27.0910,+70:23:27.884,2026-01-14 07:37:50,500.006055,hr,Sci,2025B-210199,Juliette Becker,-79.3115,1.3839,0.0,54.0827,2461054.82491463,-41.0837,0.0141,v1.4.2,15.8831,0
neidL2_20260114T072903.fits,TIC 417646390,Gaia DR2 497750842338402560,05:10:27.0910,+70:23:27.884,2026-01-14 07:29:03,500.005866,hr,Sci,2025B-210199,Juliette Becker,-79.2345,1.3714,0.0,54.08,2461054.81860141,-41.1113,0.0126,v1.4.2,17.9715,0
neidL2_20260114T072015.fits,TIC 417646390,Gaia DR2 497750842338402560,05:10:27.0910,+70:23:27.884,2026-01-14 07:20:15,500.005837,hr,Sci,2025B-210199,Juliette Becker,-78.8093,1.3597,0.0,54.0774,2461054.81264634,-41.1296,0.0115,v1.4.2,20.4232,0
neidL2_20260114T071127.fits,TIC 417646390,Gaia DR2 497750842338402560,05:10:27.0910,+70:23:27.884,2026-01-14 07:11:27,500.005961,hr,Sci,2025B-210199,Juliette Becker,-78.0733,1.3489,0.0,54.0748,2461054.80678701,-41.1723,0.0119,v1.4.2,19.6885,0
neidL2_20260114T070240.fits,TIC 417646390,Gaia DR2 497750842338402560,05:10:27.0910,+70:23:27.884,2026-01-14 07:02:40,499.810916,hr,Sci,2025B-210199,Juliette Becker,-77.0801,1.3389,0.0,54.0722,2461054.80046242,-41.1426,0.0128,v1.4.2,18.0631,0
neidL2_20260114T065040.fits,TIC 417646390,Gaia DR2 497750842338402560,05:10:27.0910,+70:23:27.884,2026-01-14 06:50:40,500.005769,hr,Sci,2025B-210199,Juliette Becker,-75.4075,1.3265,0.0,54.0679,2461054.79242048,-41.1663,0.012,v1.4.2,19.7195,0
